Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
revital-c-serum,סרום ויטמין סי מרוכז 20% לרוויה וזוהר העור,"<div dir=""rtl"" style=""text-align: right; font-family: sans-serif; line-height: 1.6;"">
<h2>סרום ויטמין C מרוכז 20% מבית 7E Wellness</h2>
<p><strong>להבהרת העור, עידוד קולגן והגנה אנטיאוקסידנטית עוצמתית</strong></p>
<p>סרום טיפולי מרוכז המכיל 20% ויטמין C טהור (חומצה אסקורבית) בשילוב נוגד החמצון CoQ10, להענקת מראה עור זוהר, מוצק ואחיד.</p>
<h3>יתרונות עיקריים:</h3>
<ul>
<li>הבהרת כתמים והאחדת גוון הפנים</li>
<li>עידוד ייצור קולגן טבעי להחלקת קמטוטים</li>
<li>הגנה מפני נזקי סביבה ורדיקלים חופשיים</li>
<li>מראה עור רענן, מתוח וזוהר בשימוש יומי</li>
</ul>
</div>",7E Wellness,Skin Care,Serum,"7E Wellness, Shopify Collective",FALSE,Title,Default Title,,,,,200-000,45,shopify,0,deny,manual,88.64,128.38,TRUE,TRUE,00850058317021,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/7ewellness_vitamin_cserum.jpg?v=1770414924,1,,FALSE,,,draft
revital-c-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/7ewellness_vitamin_cserum_with_packaging.jpg?v=1770414924,2,,,,,
revital-c-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/7ewellness_vitamin_cserum_lifestyle_image.jpg?v=1770414924,3,,,,,
revital-c-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/Artboard_4-100.jpg?v=1770414924,4,,,,,
revital-c-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/Artboard_5-100_1.jpg?v=1770414924,5,,,,,
revital-c-serum,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/revital-c-serum-233490.png?v=1770414923,6,,,,,
anua-heartleaf-77-soothing-toner,טונר Heartleaf 77%,"<div dir=""rtl"" style=""text-align:right;line-height:1.75;"">
<p><strong>טונר לחות והרגעה עם 77% תמצית Houttuynia Cordata, שנועד לסייע לאיזון תחושת העור ולשמור על יחס נעים בין לחות ושומן.</strong></p>
<h3>מה חשוב לדעת</h3>
<ul>
<li>77% Heartleaf / Houttuynia Cordata</li>
<li>פורמולה חומצית-עדינה לטיפוח איזון העור</li>
<li>מתאים לכל סוגי העור לפי היצרן</li>
<li>מרקם קליל ונוח לשימוש יומיומי</li>
</ul>
<p><strong>כמות / גודל:</strong> 250 מ״ל / גדלים נוספים בהתאם למלאי</p>
<h3>איך משתמשים</h3>
<p>לאחר הניקוי, שפכי כמה טיפות לכפות הידיים או לפד כותנה וטפחי בעדינות על הפנים.</p>
<p style=""font-size:0.92em;color:#666;""><strong>הערה:</strong> עיצוב האריזה עשוי להשתנות ללא הודעה מוקדמת.</p>
<h2>למי המוצר מתאים</h2>
<p>לעור מעורב או שמן, למראה מרקם לא אחיד ולמי שמחפשת שגרה ממוקדת יותר סביב נקבוביות ועודפי שומן.</p>
<h2>המקום שלו בשגרת K-Beauty</h2>
<p>אחרי ניקוי ולפני אסנס או סרום. מתחילים בכמות קטנה ומטפחים בעדינות עד לספיגה.</p>

<h2>שאלות נפוצות</h2>
<h3>באיזה שלב משתמשים במוצר?</h3>
<p>אחרי ניקוי ולפני אסנס או סרום. מתחילים בכמות קטנה ומטפחים בעדינות עד לספיגה.</p>
<h3>האם אפשר לשלב אותו בשגרה קיימת?</h3>
<p>כן. מומלץ להוסיף מוצר חדש אחד בכל פעם, לבצע בדיקת רגישות ולהתאים את תדירות השימוש לתחושת העור ולהוראות שעל האריזה.</p>
<p style=""font-size:0.92em;color:#666;"">זהו מוצר קוסמטי ואינו מיועד לאבחן או לטפל במצב רפואי. רשימת הרכיבים והוראות היצרן שעל האריזה הן הקובעות.</p>
</div>",ANUA,Skin Care,Toner Lotion,"ANUA, K-Beauty, K-Beauty: Pores, Korean Beauty, Shopify Collective",TRUE,Size,500ml (Jumbo),,,,,Shopify-8809640731440,907,shopify,0,deny,manual,139.90,,TRUE,TRUE,8809640731440,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/anua-heartleaf-77-soothing-toner-tiger-catalog.webp?v=1788178963,1,טונר Heartleaf 77% של ANUA,FALSE,ANUA Heartleaf 77 Soothing Toner | טונר לפנים,"ANUA Heartleaf 77 Soothing Toner עם 77% תמצית Heartleaf, במרקם קל לשגרת K-Beauty. גדלים זמינים בהתאם למלאי והוראות שימוש בעמוד המוצר.",active
anua-heartleaf-77-soothing-toner,,,,,,,,Size,250ml,,,,,Shopify-8809640731433,340,shopify,0,deny,manual,89.90,,TRUE,TRUE,8809640731433,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/41xE4gTTZQL._AC_SL1000.jpg?v=1788159551,2,טונר Heartleaf 77 של ANUA – תמונה 2,,,,
anua-heartleaf-77-soothing-toner,,,,,,,,Size,40ml,,,,,Shopify-8809640731457,113,shopify,0,deny,manual,29.90,,TRUE,TRUE,8809640731457,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/ANUA_heartleaf_77_soothing_toner_3_700x700__94540.1690545475.jpg?v=1788159551,3,טונר Heartleaf 77 של ANUA – תמונה 3,,,,
anua-heartleaf-77-soothing-toner,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0719/2628/4583/files/s-l1600_d19b97d9-743d-4d1e-9306-6d09badce2dc.jpg?v=1788159551,4,טונר Heartleaf 77 של ANUA – תמונה 4,,,,
